d, D, B, C, C0, d0, D0, Ozn, R
20, 32, 7, 2.8, 1.6, 22, 30, 61804, 0.3
  , 42, 8, 7, 3.4, 22, 40, 16004, 0.3
  , 42, 12, 9.3, 4.4, 22, 40, 6004, 0.6
  , 47, 14, 12.7, 6.1, 25, 42, 6204, 1.0
  , 52, 15, 16.3, 7.8, 26, 45, 6304, 1.1
  , 72, 19, 30.5, 16.0, 27, 63, 6404, 1.1
25, 37, 7, 3.4, 2.8, 27, 35, 61805, 0.3
  , 47, 8, 7.2, 4.6, 26, 43, 16005, 0.3
  , 47, 12, 11.0, 5.5, 27, 43, 6005, 0.6
  , 52, 15, 14.0, 6.9, 30, 47, 6205, 1.0
  , 52, 18, 14.0, 6.9, 30, 47, 62205, 1.0
  , 62, 17, 22.4, 11.0, 31, 55, 6305, 1.1
  , 80, 21, 35.9, 19.0, 34, 70, 6405, 1.5
30, 42, 7, 4.1, 3.3, 32, 40, 61806, 0.3
  , 55, 9, 11.2, 6.2, 32, 53, 16006, 0.3
  , 55, 14, 13.3, 6.8, 32, 53, 6006, 1.0
  , 62, 17, 19.5, 10.0, 35, 57, 6206, 1.0
  , 72, 21, 28.5, 14.5, 36, 65, 6306, 1.1
  , 90, 25, 43.3, 24.0, 39, 80, 6406, 1.5
35, 47, 7, 4.3, 3.6, 37, 45, 61807, 0.3
  , 62, 9, 12.3, 7.2, 37, 45, 16007, 0.3
  , 62, 9, 12.3, 7.2, 37, 60, 6007, 0.3
  , 72, 17, 25.5, 13.7, 42, 65, 62007, 1.0
  , 80, 21, 33.2, 18.0, 42, 65, 6307, 1.5
  , 100, 25, 55.0, 30.0, 44, 90, 6407, 1.5
40, 52, 7, 4.6, 4.2, 42, 50, 61808, 0.3
  , 68, 9, 13.2, 9.0, 42, 66, 16008, 0.3
  , 68, 15, 16.8, 9.3, 42, 66, 6008, 0.3
  , 80, 18, 30.0, 16.0, 47, 73, 6208, 1.1
  , 90, 23, 41.5, 22.0, 47, 81, 6308, 1.5
  , 110, 27, 63.0, 35.0, 50, 97, 6408, 2.0
